W00-1401 "Evaluation Metrics for Generation"
W12-1639 "A Regression-based Approach to Modeling Addressee Backchannels"
W12-1640 "Improving Sentence Completion in Dialogues with Multi-Modal Features"
W12-1641 "Combining Incremental Language Generation and Incremental Speech Synthesis for Adaptive Information Presentation"
W12-1642 "Focused Meeting Summarization via Unsupervised Relation Extraction"
W12-1701 "Modeling the Acquisition of Mental State Verbs"
W12-1702 "Semi-supervised learning for automatic conceptual property extraction"
W12-1703 "Why long words take longer to read: the role of uncertainty about word length"
W12-1704 "Fractal Unfolding: A Metamorphic Approach to Learning to Parse Recursive Structure"
W12-1705 "Connectionist-Inspired Incremental PCFG Parsing"
W12-1706 "Sequential vs. Hierarchical Syntactic Models of Human Incremental Sentence Processing"
W12-1707 "Modeling covert event retrieval in logical metonymy: probabilistic and distributional accounts"
W12-2401 "Graph-based alignment of narratives for automated neurological assessment"
W12-2402 "Bootstrapping Biomedical Ontologies for Scientific Text using NELL"
W12-2403 "Semantic distance and terminology structuring methods for the detection of semantically close terms"
W12-2404 "Temporal Classification of Medical Events"
W12-2405 "Analyzing Patient Records to Establish If and When a Patient Suffered from a Medical Condition"
W12-2406 "Alignment-HMM-based Extraction of Abbreviations from Biomedical Text"
W12-2407 "Medical diagnosis lost in translation \u2013 Analysis of uncertainty and negation expressions in English and Swedish clinical texts"
W12-2408 "A Hybrid Stepwise Approach for De-identifying Person Names in Clinical Documents"
W12-2409 "Active Learning for Coreference Resolution"
W12-2410 "PubMed-Scale Event Extraction for Post-Translational Modifications, Epigenetics and Protein Structural Relations"
W12-2411 "An improved corpus of disease mentions in PubMed citations"
W12-2412 "New Resources and Perspectives for Biomedical Event Extraction"
W12-2413 "Combining Compositionality and Pagerank for the Identification of Semantic Relations between Biomedical Words"
W12-2414 "Domain Adaptation of Coreference Resolution for Radiology Reports"
W12-2415 "What can NLP tell us about BioNLP?"
W12-2416 "A Prototype Tool Set to Support Machine-Assisted Annotation"
W12-2417 "MedLingMap: A growing resource mapping the Bio-Medical NLP field"
W12-2418 "Exploring Label Dependency in Active Learning for Phenotype Mapping"
W12-2419 "Evaluating Joint Modeling of Yeast Biology Literature and Protein-Protein Interaction Networks"
W12-2420 "RankPref: Ranking Sentences Describing Relations between Biomedical Entities with an Application"
W12-2421 "Finding small molecule and protein pairs in scientific literature using a bootstrapping method"
W12-2422 "Grading the Quality of Medical Evidence"
W12-2423 "Classifying Gene Sentences in Biomedical Literature by Combining High-Precision Gene Identifiers"
W12-2424 "Effect of small sample size on text categorization with support vector machines"
W12-2425 "PubAnnotation - a persistent and sharable corpus and annotation repository"
W12-2426 "Using Natural Language Processing to Extract Drug-Drug Interaction Information from Package Inserts"
W12-2427 "Automatic Approaches for Gene-Drug Interaction Extraction from Biomedical Text: Corpus and Comparative Evaluation"
W12-2428 "A Preliminary Work on Symptom Name Recognition from Free-Text Clinical Records of Traditional Chinese Medicine using Conditional Random Fields and Reasonable Features"
W12-2429 "Scaling up WSD with Automatically Generated Examples"
W12-2901 "A free and open-source tool that reads movie subtitles aloud"
W12-2902 "WinkTalk: a demonstration of a multimodal speech synthesis platform linking facial expressions to expressive synthetic voices"
W12-2903 "Discourse-Based Modeling for AAC"
W12-2904 "Applying Prediction Techniques to Phoneme-based AAC Systems"
W12-2905 "Non-Syntactic Word Prediction for AAC"
W12-2906 "Assisting Social Conversation between Persons with Alzheimer\u2019s Disease and their Conversational Partners"
W12-2907 "Communication strategies for a computerized caregiver for individuals with Alzheimer\u2019s disease"
W12-2908 "Generating Situated Assisting Utterances to Facilitate Tactile-Map Understanding: A Prototype System"
W12-2909 "Learning a Vector-Based Model of American Sign Language Inflecting Verbs from Motion-Capture Data"
W12-3101 "Putting Human Assessments of Machine Translation Systems in Order"
W12-3102 "Findings of the 2012 Workshop on Statistical Machine Translation"
W12-3103 "Semantic Textual Similarity for MT evaluation"
W12-3104 "Improving AMBER, an MT Evaluation Metric"
W12-3105 "TerrorCat: a Translation Error Categorization-based MT Quality Metric"
W12-3106 "Class error rates for evaluation of machine translation output"
W12-3107 "SPEDE: Probabilistic Edit Distance Metrics for MT Evaluation"
W12-3108 "Quality estimation for Machine Translation output using linguistic analysis and decoding features"
W12-3109 "Black Box Features for the WMT 2012 Quality Estimation Shared Task"
W12-3110 "Linguistic Features for Quality Estimation"
W12-3111 "PRHLT Submission to the WMT12 Quality Estimation Task"
W12-3112 "Tree Kernels for Machine Translation Quality Estimation"
W12-3113 "LORIA System for the WMT12 Quality Estimation Shared Task"
W12-3114 "Quality Estimation: an experimental study using unsupervised similarity measures"
W12-3115 "The UPC Submission to the WMT 2012 Shared Task on Quality Estimation"
W12-3116 "Morpheme- and POS-based IBM1 and language model scores for translation quality estimation"
W12-3117 "DCU-Symantec Submission for the WMT 2012 Quality Estimation Task"
W12-3118 "The SDL Language Weaver Systems in the WMT12 Quality Estimation Shared Task"
W12-3119 "Regression with Phrase Indicators for Estimating MT Quality"
W12-3120 "Non-Linear Models for Confidence Estimation"
W12-3121 "Combining Quality Prediction and System Selection for Improved Automatic Translation Output"
W12-3122 "Match without a Referee: Evaluating MT Adequacy without Reference Translations"
W12-3123 "Comparing human perceptions of post-editing effort with post-editing operations"
W12-3124 "Review of Hypothesis Alignment Algorithms for MT System Combination via Confusion Network Decoding"
W12-3125 "On Hierarchical Re-ordering and Permutation Parsing for Phrase-based Decoding"
W12-3126 "CCG Syntactic Reordering Models for Phrase-based Machine Translation"
W12-3127 "Using Categorial Grammar to Label Translation Rules"
W12-3128 "Using Syntactic Head Information in Hierarchical Phrase-Based Translation"
W12-3129 "Fully Automatic Semantic MT Evaluation"
W12-3130 "Probes in a Taxonomy of Factored Phrase-Based Models"
W12-3131 "The CMU-Avenue French-English Translation System"
W12-3132 "Formemes in English-Czech Deep Syntactic MT"
W12-3133 "The TALP-UPC phrase-based translation systems for WMT12: Morphology simplification and domain adaptation"
W12-3134 "Joshua 4.0: Packing, PRO, and Paraphrases"
W12-3135 "Syntax-aware Phrase-based Statistical Machine Translation: System Description"
W12-3136 "QCRI at WMT12: Experiments in Spanish-English and German-English Machine Translation of News Text"
W12-3137 "The RWTH Aachen Machine Translation System for WMT 2012"
W12-3138 "Machine Learning for Hybrid Machine Translation"
W12-3139 "Towards Effective Use of Training Data in Statistical Machine Translation"
W12-3140 "Joint WMT 2012 Submission of the QUAERO Project"
W12-3141 "LIMSI @ WMT12"
W12-3142 "UPM system for WMT 2012"
W12-3143 "PROMT DeepHybrid system for WMT12 shared translation task"
W12-3144 "The Karlsruhe Institute of Technology Translation Systems for the WMT 2012"
W12-3145 "Kriya - The SFU System for Translation Task at WMT-12"
W12-3146 "DEPFIX: A System for Automatic Correction of Czech MT Outputs"
W12-3147 "LIUM\u2019s SMT Machine Translation Systems for WMT 2012"
W12-3148 "Selecting Data for English-to-Czech Machine Translation"
W12-3149 "DFKI's SMT System for WMT 2012"
W12-3150 "GHKM Rule Extraction and Scope-3 Parsing in Moses"
W12-3151 "Data Issues of the Multilingual Translation Matrix"
W12-3152 "Constructing Parallel Corpora for Six Indian Languages via Crowdsourcing"
W12-3153 "Twitter Translation using Translation-Based Cross-Lingual Retrieval"
W12-3154 "Analysing the Effect of Out-of-Domain Data on SMT Systems"
W12-3155 "Evaluating the Learning Curve of Domain Adaptive Statistical Machine Translation Systems"
W12-3156 "The Trouble with SMT Consistency"
W12-3157 "Phrase Model Training for Statistical Machine Translation with Word Lattices of Preprocessing Alternatives"
W12-3158 "Leave-One-Out Phrase Model Training for Large-Scale Deployment"
W12-3159 "Direct Error Rate Minimization for Statistical Machine Translation"
W12-3401 "Probabilistic Lexical Generalization for French Dependency Parsing"
W12-3402 "Supervised Learning of German Qualia Relations"
W12-3403 "Building an Arabic Multiword Expressions Repository"
W12-3404 "Unsupervised frame based Semantic Role Induction: application to French and English"
W12-3405 "Using Synthetic Compounds for Word Sense Discrimination"
W12-3406 "Machine Learning of Syntactic Attachment from Morphosyntactic and Semantic Co-occurrence Statistics"
W12-3407 "Combining Rule-Based and Statistical Syntactic Analyzers"
W12-3408 "Statistical Parsing of Spanish and Data Driven Lemmatization"
W12-3409 "Assigning Deep Lexical Types Using Structured Classifier Features for Grammatical Dependencies"
W12-3410 "Using an SVM Ensemble System for Improved Tamil Dependency Parsing"
W12-3411 "Korean Treebank Transformation for Parser Training"
W12-3501 "Multimodal Human-Machine Interaction for Service Robots in Home-Care Environments"
W12-3502 "Integration of Multimodal Interaction as Assistance in Virtual Environments"
W12-3503 "Toward a Virtual Assistant for Vulnerable Users: Designing Careful Interaction"
W12-3504 "Speech and Gesture Interaction in an Ambient Assisted Living Lab"
W12-3505 "Reduction of Non-stationary Noise for a Robotic Living Assistant using Sparse Non-negative Matrix Factorization"
W12-3506 "Towards a Self-Learning Assistive Vocal Interface: Vocabulary and Grammar Learning"
W12-3601 "The Role of Linguistic Models and Language Annotation in Feature Selection for Machine Learning"
W12-3602 "Who Did What to Whom? A Contrastive Study of Syntacto-Semantic Dependencies"
W12-3603 "Prague Markup Language Framework"
W12-3604 "Exploiting naive vs expert discourse annotations: an experiment using lexical cohesion to predict Elaboration / Entity-Elaboration confusions"
W12-3605 "Pair Annotation: Adaption of Pair Programming to Corpus Annotation"
W12-3606 "Structured Named Entities in two distinct press corpora: Contemporary Broadcast News and Old Newspapers"
W12-3607 "Intra-Chunk Dependency Annotation : Expanding Hindi Inter-Chunk Annotated Treebank"
W12-3608 "A Model for Linguistic Resource Description"
W12-3609 "A GrAF-compliant Indonesian Speech Recognition Web Service on the Language Grid for Transcription Crowdsourcing"
W12-3610 "Towards Adaptation of Linguistic Annotations to Scholarly Annotation Formalisms on the Semantic Web"
W12-3611 "Intonosyntactic Data Structures: The Rhapsodie Treebank of Spoken French"
W12-3612 "Annotation Schemes to Encode Domain Knowledge in Medical Narratives"
W12-3613 "Usability Recommendations for Annotation Tools"
W12-3614 "Search Result Diversification Methods to Assist Lexicographers"
W12-3615 "Simultaneous error detection at two levels of syntactic annotation"
W12-3616 "Exploring Temporal Vagueness with Mechanical Turk"
W12-3617 "Developing Learner Corpus Annotation for Korean Particle Errors"
W12-3618 "Annotating Archaeological Texts: An Example of Domain-Specific Annotation in the Humanities"
W12-3619 "Annotating Preferences in Chats for Strategic Games"
W12-3620 "Morpheme Segmentation in the METU-Sabanc\u0131 Turkish Treebank"
W12-3621 "AlvisAE: a collaborative Web text annotation editor for knowledge acquisition"
W12-3622 "CSAF - a community-sourcing annotation framework"
W12-3623 "Dependency Treebank of Urdu and its Evaluation"
W12-3624 "Annotating Coordination in the Penn Treebank"
W12-3625 "Annotating Particle Realization and Ellipsis in Korean"
W12-3701 "Multimodal Sentiment Analysis"
W12-3702 "Subjectivity Word Sense Disambiguation"
W12-3703 "Random Walk Weighting over SentiWordNet for Sentiment Polarity Detection on Twitter"
W12-3704 "Mining Sentiments from Tweets"
W12-3705 "SAMAR: A System for Subjectivity and Sentiment Analysis of Arabic Social Media"
W12-3706 "Opinum: statistical sentiment analysis for opinion classification"
W12-3707 "Sentimantics: Conceptual Spaces for Lexical Sentiment Polarity Representation with Contextuality"
W12-3708 "Analysis of Travel Review Data from Reader\u2019s Point of View"
W12-3709 "Multilingual Sentiment Analysis using Machine Translation?"
W12-3710 "Unifying Local and Global Agreement and Disagreement Classification in Online Debates"
W12-3711 "Prior versus Contextual Emotion of a Word in a Sentence"
W12-3712 "Cross-discourse Development of Supervised Sentiment Analysis in the Clinical Domain"
W12-3713 "POLITICAL-ADS: An annotated corpus for modeling event-level evaluativity"
W12-3714 "Automatically Annotating A Five-Billion-Word Corpus of Japanese Blogs for Affect and Sentiment Analysis"
